2026-04-02T02:44:43.516493,Room 301,0.99
2026-04-02T02:44:44.150866,Room 301,0.99
2026-04-02T02:44:44.795017,Room 301,0.99
2026-04-02T02:44:45.430423,Room 301,0.99
2026-04-02T02:44:46.067541,Room 301,0.99
2026-04-02T02:44:46.699864,Room 301,0.99
2026-04-02T02:44:47.327201,Room 301,1.0
2026-04-02T02:44:47.953557,Room 301,1.0
2026-04-02T02:44:48.579925,Room 301,1.0
2026-04-02T02:44:49.214059,Room 301,1.0
2026-04-02T02:44:49.849369,Room 301,1.0
2026-04-02T02:44:50.479358,Room 301,1.0
2026-04-02T02:44:51.125822,Room 301,1.0
2026-04-02T02:44:51.757349,Room 301,1.0
2026-04-02T02:44:52.386440,Room 301,1.0
2026-04-02T02:44:53.016425,Room 301,1.0
2026-04-02T02:44:53.662201,Room 301,1.0
2026-04-02T02:44:54.295750,Room 301,1.0
2026-04-02T02:44:54.930089,Room 301,1.0
2026-04-02T02:46:45.688390,Room 301,0.99
2026-04-02T02:46:46.309229,Room 301,0.99
2026-04-02T02:46:46.935251,Room 301,0.99
2026-04-02T02:46:47.566598,Room 301,0.99
2026-04-02T02:46:48.196805,Room 301,0.99
2026-04-02T02:46:48.841295,Room 301,0.99
2026-04-02T02:46:49.500215,Room 301,1.0
2026-04-02T02:46:50.134860,Room 301,1.0
2026-04-02T02:46:50.765129,Room 301,1.0
2026-04-02T02:47:42.159091,Room 301,1.0
2026-04-02T02:47:42.831944,Room 301,1.0
2026-04-02T02:47:43.472703,Room 301,1.0
2026-04-02T02:47:44.144182,Room 301,1.0
2026-04-02T02:47:44.784294,Room 301,1.0
2026-04-02T02:49:43.759226,Room 301,0.99
2026-04-02T02:49:44.389259,Room 301,0.99
2026-04-02T02:49:45.030757,Room 301,0.99
2026-04-02T02:49:45.669289,Room 301,0.99
2026-04-02T02:49:46.302839,Room 301,0.99
2026-04-02T02:49:46.938627,Room 301,0.99
2026-04-02T02:49:47.566597,Room 301,1.0
2026-04-02T02:49:48.192868,Room 301,1.0
2026-04-02T02:49:48.823217,Room 301,1.0
2026-04-02T02:49:49.456804,Room 301,1.0
2026-04-02T02:49:50.097609,Room 301,1.0
2026-04-02T02:49:50.842557,Room 301,1.0
2026-04-02T02:49:51.492262,Room 301,1.0
2026-04-02T02:49:52.134845,Room 301,1.0
2026-04-02T02:49:52.764746,Room 301,1.0
2026-04-02T02:49:53.409145,Room 301,1.0
2026-04-02T02:49:54.038703,Room 301,1.0
2026-04-02T02:49:54.673255,Room 301,1.0
2026-04-02T02:49:55.303081,Room 301,1.0
2026-04-02T02:49:55.932195,Room 301,1.0
2026-04-02T02:49:56.560998,Room 301,1.0
2026-04-02T02:49:57.194374,Room 301,1.0
2026-04-02T02:49:57.827092,Room 301,1.0
2026-04-02T02:49:58.470733,Room 301,1.0
2026-04-02T02:49:59.103793,Room 301,1.0
2026-04-02T02:52:06.007610,Room 301,1.0
2026-04-02T02:52:06.593959,Room 301,1.0
2026-04-02T02:52:07.228197,Room 301,1.0
2026-04-02T02:52:07.857578,Room 301,1.0
2026-04-02T02:52:08.488215,Room 301,1.0
2026-04-02T02:52:09.113759,Room 301,1.0
2026-04-02T02:52:09.744962,Room 301,1.0
2026-04-02T02:52:10.372475,Room 301,1.0
2026-04-02T02:52:10.996132,Room 301,1.0
2026-04-02T02:52:11.621708,Room 301,1.0
2026-04-02T02:52:12.235297,Room 301,1.0
2026-04-02T02:52:12.864323,Room 301,1.0
2026-04-02T02:52:13.493520,Room 301,1.0
2026-04-02T02:52:14.139919,Room 301,1.0
2026-04-02T02:52:14.771088,Room 301,1.0
2026-04-02T02:52:15.393492,Room 301,1.0
2026-04-02T02:52:16.017383,Room 301,1.0
2026-04-02T02:52:16.654927,Room 301,1.0
2026-04-02T02:52:17.284363,Room 301,1.0
2026-04-02T02:52:17.913068,Room 301,1.0
2026-04-02T02:52:18.551900,Room 301,1.0
2026-04-02T02:52:19.184420,Room 301,1.0
